id,name,city,department,address,lat,lon,geocode_score,geocode_label,category,capacity_text,capacity_max_detected,price_text,price_score,website,contact,source_url,pros,cons,confidence,fit_score,last_checked
small-011,Maison du Citoyen et de la Vie Associative,Fontenay-sous-Bois,94,"16 rue du Révérend Père Lucien Aubry, 94120 Fontenay-sous-Bois",48.846577,2.476204,0.78239,16 Rue du Reverend Pere Aubry 94120 Fontenay-sous-Bois,maison du citoyen / associations,petites salles dès 2 personnes ; demander une salle ≤20 (site indique gamme globale 2-120),20,mise à disposition associative ; tarif non publié,50,https://www.fontenay.fr,mdcva@fontenay-sous-bois.fr ; 01 49 74 76 90,https://www.fontenay.fr/citoyennete-vie-associative/maison-du-citoyen-1020.html,beaucoup de petites salles | contact clair | tables/chaises,priorité associations locales | prix non publié,high,88,2026-06-19
small-012,Maison des Associations de Pantin - espace réunion,Pantin,93,"Pantin, 93500",48.900267,2.409457,0.954250909090909,Pantin,maison associations,table de réunion 8 personnes,8,tarif non publié ; mise à disposition associative à vérifier,50,https://citoyen.pantin.fr/je-mengage/la-maison-des-associations,portail associatif Pantin,https://citoyen.pantin.fr/je-mengage/la-maison-des-associations,8 personnes | équipement associatif | Pantin proche Paris,adresse exacte à confirmer | probablement assos locales,medium,81,2026-06-19
small-013,ID COWORK - salle de réunion,Saint-Maur-des-Fossés,94,"37 quai de la Pie, 94100 Saint-Maur-des-Fossés",48.789668,2.473903,0.9753554545454545,37 Quai de la Pie 94100 Saint-Maur-des-Fossés,coworking abordable,jusqu’à 16 personnes,16,à partir de 40 € / 2h pour 1-2 personnes ; autres jauges selon barème,90,https://id-cowork.fr,via site ID COWORK,https://id-cowork.fr,16 personnes | équipé visio | tarifs d’entrée publiés,tarif 16 personnes à confirmer | plus éloigné,high,96,2026-06-19
small-014,CO’LOC Coworking,Joinville-le-Pont,94,"Joinville-le-Pont, 94340",48.820327,2.471927,0.949231818181818,Joinville-le-Pont,coworking très abordable,petits rendez-vous / cabine / open space ; capacité salle dédiée non publiée,,8 € HT / heure ; 20 € HT demi-journée ; 29 € HT journée,90,https://www.coworkingcoloc.fr/coworking,Laurianne@coworkingcoloc.fr ; 07 68 60 49 29,https://www.coworkingcoloc.fr/coworking,très bas prix | face RER A selon source | réservation simple,pas forcément salle fermée 20 pers | HT,medium,54,2026-06-19
small-015,Facility Center Montreuil - Salle DUBLIN,Montreuil,93,"17-21 avenue Jean Moulin, 93100 Montreuil",48.858967,2.449477,0.8188483916083916,21 Avenue Jean Moulin 93100 Montreuil,centre affaires / coworking,10 personnes,10,tarif non affiché ; réservation via Neo-nomade,50,https://www.neo-nomade.com,via fiche Neo-nomade,https://www.neo-nomade.com/s/montreuil/salle-reunion-formation-location,10 personnes | réunion/formation | proche Paris,prix à demander | plateforme intermédiaire,medium,76,2026-06-19
small-016,Facility Center Montreuil - Salle ATHENES,Montreuil,93,"17-21 avenue Jean Moulin, 93100 Montreuil",48.858967,2.449477,0.8188483916083916,21 Avenue Jean Moulin 93100 Montreuil,centre affaires / coworking,14 personnes,14,tarif non affiché ; réservation via Neo-nomade,50,https://www.neo-nomade.com,via fiche Neo-nomade,https://www.neo-nomade.com/s/montreuil/salle-reunion-formation-location,14 personnes | formation possible | alternative privée,prix à demander | probablement moins cheap que municipal,medium,76,2026-06-19
small-017,Maison des Associations - MDA 1/2/4,Meulan-en-Yvelines,78,"Allée des Cottages, 78250 Meulan-en-Yvelines",49.010636,1.91407,0.9612127272727272,Allee des Cottages 78250 Meulan-en-Yvelines,maison associations / municipal,MDA 1: 14 ; MDA 2: 14 ; MDA 4: 20 personnes,20,45 € demi-journée ou 77 € journée Meulanais ; 67 €/113 € extra-muros ; caution 400 €,80,https://ville-meulan.fr,01 30 90 41 46,https://ville-meulan.fr/votre-mairie/vos-demarches/location-de-salles/salles-destination-des-associations,14-20 pile | tarifs publics bas | journée peu chère,pas particuliers | loin Paris selon besoin,high,91,2026-06-19
small-018,Maison des Associations d’Eaubonne - petites salles,Eaubonne,95,"Eaubonne, 95600",48.9916,2.277576,0.9503427272727272,Eaubonne,maison associations / municipal,salles de 2 à 20 personnes selon salle,20,gratuit pour associations eaubonnaises en demande ponctuelle,100,https://www.eaubonne.fr,reservation-salles@eaubonne.fr ; 01 34 27 33 47,https://www.eaubonne.fr/que-faire-a-eaubonne/se-divertir/le-monde-associatif/la-mda,plusieurs salles ≤20 | gratuit assos locales | contact réservation,associations locales | adresse précise à confirmer,high,98,2026-06-19
small-019,Maison des Associations et de l’Emploi,Versailles,78,"2 bis place de Touraine, 78000 Versailles",48.804154,2.162081,0.8106845454545454,2bis Place de Touraine 78000 Versailles,maison associations / municipal,7 salles de 8 à 22 personnes ; choisir ≤20,20,"adhésion 44,60 €/an ; location par créneau, détail à demander",75,https://www.versailles.fr,associations@versailles.fr,https://www.versailles.fr/318/associations-et-quartiers/accompagnement-des-associations/maison-des-associations-et-de-l-emploi.htm,petites salles | wifi | Versailles accessible train,adhésion/réservation adhérents | tarifs créneau à demander,high,89,2026-06-19
small-020,Maison des Associations Saint-Germanoises,Saint-Germain-en-Laye,78,"3 rue de la République, 78100 Saint-Germain-en-Laye",48.898064,2.092649,0.9708527272727272,3 Rue de la République 78100 Saint-Germain-en-Laye,maison associations,"salles 4-6, 8, 10, 20 personnes",20,frais de gestion selon salle/durée ; dépôt garantie 500 € ; tarifs sur demande,50,https://mas.asso.fr/mise-disposition-salles,contact@mas-association.fr ; 01 39 73 73 73,https://mas.asso.fr/mise-disposition-salles,plusieurs petites jauges | centre-ville/RER | wifi/vidéo selon salle,tarifs non publiés | garantie 500 €,high,81,2026-06-19
small-021,CCI Essonne - Salle La Bruyère,Évry-Courcouronnes,91,"2 cours Monseigneur Romero, 91000 Évry-Courcouronnes",48.624153,2.43059,0.9684418181818181,2 Cours Monseigneur Roméro 91000 Évry-Courcouronnes,CCI / salle professionnelle,12 personnes,12,80 à 100 € HT / jour,80,https://www.essonne.cci.fr/location-de-salles-evry-courcouronnes,formulaire disponibilité CCI Essonne,https://www.essonne.cci.fr/location-de-salles-evry-courcouronnes,tarif jour bas | 12 personnes | équipé pro,usage pro uniquement | HT,high,86,2026-06-19
small-022,CCI Essonne - Salle George Sand,Évry-Courcouronnes,91,"2 cours Monseigneur Romero, 91000 Évry-Courcouronnes",48.624153,2.43059,0.9684418181818181,2 Cours Monseigneur Roméro 91000 Évry-Courcouronnes,CCI / salle professionnelle,20 personnes,20,150 à 210 € HT / jour,65,https://www.essonne.cci.fr/location-de-salles-evry-courcouronnes,formulaire disponibilité CCI Essonne,https://www.essonne.cci.fr/location-de-salles-evry-courcouronnes,20 max | tarif journée clair | vidéoprojecteur/wifi,usage professionnel | HT,high,81,2026-06-19
small-023,Inter Centres d’Affaires - salle 20 personnes,Versailles,78,"35 rue des Chantiers, 78000 Versailles",48.795923,2.138577,0.9761954545454544,35 Rue des Chantiers 78000 Versailles,centre affaires,"salles 3, 5, 12 et 20 personnes",20,"à partir de 21 € HT/h (3 pers), 45 € HT/h (12), 60 € HT/h (20)",90,https://www.inter-ca.com/salles-de-reunion/location-salles-de-reunion-versailles-78-yvelines,via page contacts Inter Centres d’Affaires,https://www.inter-ca.com/salles-de-reunion/location-salles-de-reunion-versailles-78-yvelines,tarif horaire clair | 3-20 personnes | gare Chantiers,HT | privé plus cher que municipal,high,89,2026-06-19
small-024,Chez Mémé - espace réunion,Arpajon,91,"27 Grande Rue, 91290 Arpajon",48.591575,2.247663,0.969170909090909,27 Grande Rue 91290 Arpajon,coworking / salle réunion,jusqu’à 12 personnes,12,"salle incluse selon planning pour coworkers ; open space 12,50 € HT demi-journée / 22,50 € HT journée",90,http://xn--chezmm-fvab.fr/location-bureau-coworking,contact@chezmémé.fr ; 09 51 22 83 00,http://xn--chezmm-fvab.fr/location-bureau-coworking,économique | 12 personnes | formules flexibles,privatisation salle seule non claire | Arpajon,high,89,2026-06-19
small-025,L’Arche Coworking - salle de réunion,Yerres,91,"30 rue Mont du Griffon, 91330 Yerres",48.720895,2.493008,0.8733354545454545,30 Rue du Mont-griffon 91330 Yerres,coworking / salle réunion,jusqu’à 20 personnes,20,100 € HT / 2h ; 166 € HT demi-journée ; 250 € HT journée,80,https://www.arche-coworking.fr/tarif-salle-de-reunion,arche.coworking@gmail.com ; 01 60 47 21 82,https://www.arche-coworking.fr/tarif-salle-de-reunion,20 max | tarifs publiés | PMR/équipée,HT | plus cher que municipal,high,86,2026-06-19
